Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
250, 814,     814.440,       5.017,    1099.464,   1.979E-02,   2.763E-02,   5.836E-03,   1.404E-22
251, 817,     816.943,       5.035,    1086.130,   1.955E-02,   2.763E-02,   6.024E-03,   1.071E-22
252, 819,     819.456,       5.019,    1067.987,   1.932E-02,   2.763E-02,   5.699E-03,   6.951E-23
253, 822,     821.961,       5.043,    1061.924,   1.908E-02,   2.762E-02,   4.915E-03,   6.593E-23
254, 824,     824.462,       4.994,    1065.744,   1.885E-02,   2.762E-02,   3.982E-03,   8.303E-23
255, 827,     826.984,       5.059,    1065.369,   1.862E-02,   2.762E-02,   3.184E-03,   1.015E-22
256, 829,     829.489,       5.043,    1057.909,   1.840E-02,   2.762E-02,   2.619E-03,   1.147E-22
257, 832,     832.005,       5.025,    1043.676,   1.817E-02,   2.761E-02,   2.258E-03,   1.471E-22
258, 835,     834.507,       5.018,    1035.111,   1.795E-02,   2.761E-02,   2.051E-03,   1.969E-22
259, 837,     837.018,       5.033,    1034.699,   1.774E-02,   2.761E-02,   1.974E-03,   1.944E-22
260, 840,     839.516,       5.017,    1032.451,   1.754E-02,   2.760E-02,   1.991E-03,   1.761E-22
261, 842,     842.031,       5.050,    1025.487,   1.733E-02,   2.760E-02,   2.082E-03,   1.913E-22
262, 845,     844.538,       4.994,    1018.703,   1.713E-02,   2.760E-02,   2.267E-03,   1.738E-22
263, 847,     847.062,       5.111,    1007.688,   1.693E-02,   2.759E-02,   2.603E-03,   1.157E-22
264, 850,     849.572,       4.991,     985.721,   1.673E-02,   2.759E-02,   3.173E-03,   7.476E-23
265, 852,     852.086,       5.049,     946.256,   1.654E-02,   2.759E-02,   3.781E-03,   8.115E-23
266, 855,     854.586,       4.993,     923.473,   1.634E-02,   2.759E-02,   3.975E-03,   1.025E-22
267, 857,     857.103,       5.049,     958.122,   1.614E-02,   2.758E-02,   3.669E-03,   8.659E-23
268, 860,     859.594,       5.004,     985.478,   1.595E-02,   2.758E-02,   3.165E-03,   6.503E-23
269, 862,     862.112,       5.042,     979.068,   1.577E-02,   2.758E-02,   2.573E-03,   6.385E-23
270, 865,     864.610,       5.017,     943.257,   1.560E-02,   2.758E-02,   2.052E-03,   5.997E-23
271, 867,     867.113,       5.016,     918.639,   1.542E-02,   2.757E-02,   1.649E-03,   6.114E-23
272, 870,     869.613,       5.016,     940.430,   1.524E-02,   2.757E-02,   1.362E-03,   6.068E-23
273, 872,     872.129,       5.033,     950.801,   1.507E-02,   2.757E-02,   1.178E-03,   5.794E-23
274, 875,     874.636,       5.036,     943.947,   1.490E-02,   2.756E-02,   1.081E-03,   6.093E-23
275, 877,     877.145,       5.012,     940.025,   1.472E-02,   2.756E-02,   1.057E-03,   6.732E-23
276, 880,     879.637,       4.978,     933.925,   1.456E-02,   2.756E-02,   1.097E-03,   7.284E-23
277, 882,     882.136,       5.046,     931.376,   1.440E-02,   2.756E-02,   1.184E-03,   7.404E-23
278, 885,     884.639,       4.978,     929.176,   1.424E-02,   2.755E-02,   1.303E-03,   7.028E-23
279, 887,     887.130,       5.020,     923.435,   1.408E-02,   2.755E-02,   1.422E-03,   7.848E-23
280, 890,     889.598,       4.916,     922.736,   1.393E-02,   2.755E-02,   1.469E-03,   1.133E-22
281, 892,     892.093,       5.049,     919.018,   1.378E-02,   2.755E-02,   1.484E-03,   1.219E-22
282, 895,     894.601,       4.974,     915.276,   1.364E-02,   2.755E-02,   1.609E-03,   9.414E-23
283, 940,     939.713,      44.285,     819.806,   1.109E-02,   2.750E-02,   5.011E-04,   7.264E-24
284,1038,    1038.317,      74.398,     670.206,   7.464E-03,   2.744E-02,   3.476E-05,   3.123E-27
285,1250,    1250.375,      28.523,     443.535,   3.516E-03,   2.734E-02,   7.983E-09,   1.223E-26
286,1249,    1248.550,      28.641,     445.114,   3.536E-03,   2.734E-02,   8.547E-09,   1.214E-26
287,1378,    1378.169,      14.420,     355.624,   2.376E-03,   2.730E-02,   1.119E-08,   3.019E-26
288,1620,    1619.624,      73.734,     234.400,   1.247E-03,   2.726E-02,   3.022E-09,   8.989E-27
289,1618,    1618.034,      73.644,     234.996,   1.252E-03,   2.726E-02,   3.028E-09,   8.987E-27
290,2131,    2130.593,      49.294,      91.111,   4.152E-04,   2.721E-02,   1.151E-08,   3.421E-26
291,2258,    2258.429,      72.833,      73.970,   3.292E-04,   2.720E-02,   9.465E-09,   2.823E-26
