band_index,band_id,center_wavelength_nm,fwhm_nm,support_min_nm,support_max_nm
1,Blue,483.5,67.0,450.0,517.0
2,Green,550.0,66.0,517.0,583.0
3,Red,643.5,93.0,597.0,690.0
4,NIR,824.5,131.0,759.0,890.0
